,SA3 Name
6202,Special Purpose Codes SA3 (Qld)
6231,Migratory - Offshore - Shipping (SA)
6232,Special Purpose Codes SA3 (SA)
6266,Migratory - Offshore - Shipping (WA)
6267,Special Purpose Codes SA3 (WA)
6283,Migratory - Offshore - Shipping (Tas.)
6284,Special Purpose Codes SA3 (Tas.)
6294,Migratory - Offshore - Shipping (NT)
6295,Special Purpose Codes SA3 (NT)
6297,Cotter - Namadgi
6305,Migratory - Offshore - Shipping (ACT)
6306,Special Purpose Codes SA3 (ACT)
6308,Cocos (Keeling) Islands
6309,Jervis Bay
6310,Migratory - Offshore - Shipping (OT)
6311,Special Purpose Codes SA3 (OT)
6332,Illawarra Catchment Reserve
6337,Lord Howe Island
6388,Blue Mountains - South
6403,Migratory - Offshore - Shipping (NSW)
6404,Special Purpose Codes SA3 (NSW)
6470,Migratory - Offshore - Shipping (Vic.)
6471,Special Purpose Codes SA3 (Vic.)
6552,Migratory - Offshore - Shipping (Qld)
6553,Special Purpose Codes SA3 (Qld)
6582,Migratory - Offshore - Shipping (SA)
6583,Special Purpose Codes SA3 (SA)
6617,Migratory - Offshore - Shipping (WA)
6618,Special Purpose Codes SA3 (WA)
6634,Migratory - Offshore - Shipping (Tas.)
6635,Special Purpose Codes SA3 (Tas.)
6645,Migratory - Offshore - Shipping (NT)
6646,Special Purpose Codes SA3 (NT)
6648,Cotter - Namadgi
6656,Migratory - Offshore - Shipping (ACT)
6657,Special Purpose Codes SA3 (ACT)
6659,Cocos (Keeling) Islands
6660,Jervis Bay
6661,Migratory - Offshore - Shipping (OT)
6662,Special Purpose Codes SA3 (OT)
6683,Illawarra Catchment Reserve
6688,Lord Howe Island
6739,Blue Mountains - South
6754,Migratory - Offshore - Shipping (NSW)
6755,Special Purpose Codes SA3 (NSW)
6821,Migratory - Offshore - Shipping (Vic.)
6822,Special Purpose Codes SA3 (Vic.)
6903,Migratory - Offshore - Shipping (Qld)
6904,Special Purpose Codes SA3 (Qld)
6933,Migratory - Offshore - Shipping (SA)
6934,Special Purpose Codes SA3 (SA)
6968,Migratory - Offshore - Shipping (WA)
6969,Special Purpose Codes SA3 (WA)
6985,Migratory - Offshore - Shipping (Tas.)
6986,Special Purpose Codes SA3 (Tas.)
6996,Migratory - Offshore - Shipping (NT)
6997,Special Purpose Codes SA3 (NT)
6999,Cotter - Namadgi
7007,Migratory - Offshore - Shipping (ACT)
7008,Special Purpose Codes SA3 (ACT)
7010,Cocos (Keeling) Islands
7011,Jervis Bay
7012,Migratory - Offshore - Shipping (OT)
7013,Special Purpose Codes SA3 (OT)
7034,Illawarra Catchment Reserve
7039,Lord Howe Island
7090,Blue Mountains - South
7105,Migratory - Offshore - Shipping (NSW)
7106,Special Purpose Codes SA3 (NSW)
7172,Migratory - Offshore - Shipping (Vic.)
7173,Special Purpose Codes SA3 (Vic.)
7254,Migratory - Offshore - Shipping (Qld)
7255,Special Purpose Codes SA3 (Qld)
7284,Migratory - Offshore - Shipping (SA)
7285,Special Purpose Codes SA3 (SA)
7319,Migratory - Offshore - Shipping (WA)
7320,Special Purpose Codes SA3 (WA)
7336,Migratory - Offshore - Shipping (Tas.)
7337,Special Purpose Codes SA3 (Tas.)
7347,Migratory - Offshore - Shipping (NT)
7348,Special Purpose Codes SA3 (NT)
7350,Cotter - Namadgi
7358,Migratory - Offshore - Shipping (ACT)
7359,Special Purpose Codes SA3 (ACT)
7361,Cocos (Keeling) Islands
7362,Jervis Bay
7363,Migratory - Offshore - Shipping (OT)
7364,Special Purpose Codes SA3 (OT)
