"","sex","SA3","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011"
"739","F",40302,40728,40928,40971,40880,40695,40735,40590,40769,41191,41431,41464,41651,41812,41939,42119,42514,42979,43451,44102,44665,44970
"740","M",40302,38054,38193,38176,38025,37800,37804,37885,37951,38036,38250,38466,38632,38778,38979,39169,39438,39966,40435,41160,41820,42132
"742","F",40303,32362,32441,32034,31673,31317,31114,31322,31359,31569,31590,31596,31741,31931,32018,32141,32353,32458,32533,32626,32710,32812
"743","M",40303,29956,30099,29765,29456,29154,29034,28946,28992,28981,29081,29231,29344,29578,29651,29807,29986,30225,30370,30715,30873,30905
"745","F",40304,66824,69092,70545,71644,72463,72852,73512,74287,75052,75750,76251,76637,76964,77211,77716,78477,79290,80285,81437,82531,83512
"746","M",40304,66641,68846,70228,71240,71994,72345,73018,73494,74021,74656,75051,75224,75254,75241,75507,76104,76885,77839,79168,80340,81162
"748","F",40401,52009,51739,51362,51126,50878,50932,51178,51317,51446,51448,51352,51277,51257,51218,51250,51487,51764,52158,52853,53422,53833
"749","M",40401,49958,49650,49245,48925,48620,48644,48776,48819,48811,48868,48952,48960,48835,48885,48890,49172,49450,49867,50721,51381,51974
"751","F",40402,28252,28125,27926,27717,27597,27641,27680,27768,27655,27534,27354,27372,27415,27546,27528,27559,27837,28275,28639,29014,29398
"752","M",40402,27916,27698,27408,27132,26940,26895,26879,26828,26783,26689,26605,26623,26653,26464,26463,26415,26730,27274,27876,28453,29032
"754","F",40403,27980,27887,27648,27583,27486,27581,27732,27796,28009,27966,27938,28080,28203,28330,28427,28818,29245,29541,29936,30307,30557
"755","M",40403,27092,26935,26650,26469,26303,26336,26441,26544,26810,26722,26833,27035,27152,27278,27431,27730,28112,28431,28870,29273,29458
"757","F",40501,13457,13744,13847,13984,14153,14260,14344,14496,14561,14632,14704,14844,15031,15244,15443,15577,15802,16015,16208,16521,16707
"758","M",40501,13581,13854,13926,14035,14178,14278,14414,14590,14654,14749,14977,15141,15431,15743,15989,16169,16317,16419,16588,16824,17008
"760","F",40502,10871,10905,10930,10913,10848,10805,10797,10700,10662,10636,10622,10744,10637,10665,10685,10715,10765,10813,10854,10930,11009
"761","M",40502,11273,11309,11339,11317,11262,11211,11242,11127,11135,11165,11147,11158,11124,11085,11059,11057,11091,11138,11213,11305,11349
"763","F",40503,15359,15357,15368,15236,15020,14835,14744,14622,14464,14314,14124,14074,14021,13939,13936,14014,14044,13980,13948,13917,13807
"764","M",40503,15468,15425,15398,15195,14911,14694,14622,14483,14366,14285,14200,14212,14191,14149,14098,14075,14105,14060,13984,13944,13883
"766","F",40504,10840,10918,11056,11013,11009,10960,10979,11029,11042,11088,11132,11146,11173,11234,11405,11474,11640,11800,11970,12060,12091
"767","M",40504,11012,11083,11223,11201,11191,11130,11167,11203,11232,11296,11349,11398,11523,11565,11601,11674,11831,11973,12152,12232,12261
"769","F",40601,28818,28843,28614,28428,28057,27869,27734,27586,27521,27388,27448,27499,27492,27448,27398,27419,27682,27859,28096,28288,28321
"770","M",40601,30875,30843,30488,30240,29785,29503,29358,29183,29077,28865,28606,28691,28745,28872,28859,29059,29117,29162,29201,29282,29386
"772","F",40602,14763,14654,14469,14376,14176,13890,13750,13886,13992,14027,13634,13274,13284,13124,13010,13040,13135,13223,13281,13336,13433
"773","M",40602,16545,16404,16164,16028,15739,15446,15301,15439,15528,15552,15739,15040,14999,14873,14704,14721,14993,15309,15480,15672,15736
"775","F",40701,14554,14830,15335,15734,16261,16828,17182,17600,18001,18331,18762,19303,19763,20331,20836,21252,21893,22585,23159,23775,24090
"776","M",40701,14675,14881,15279,15595,16032,16524,16902,17329,17688,18008,18450,18986,19460,20044,20498,20900,21402,21878,22295,22769,23184
"778","F",40702,30895,31058,31110,31159,30970,30908,30912,30836,30899,30807,30843,30989,31164,31148,31315,31351,31501,31614,31721,31894,31853
"779","M",40702,31960,32076,32053,32027,31806,31684,31678,31611,31621,31521,31489,31709,31855,31948,32229,32279,32385,32455,32503,32648,32522
"781","F",40703,32843,33110,33118,33213,33229,33169,33162,33221,33174,33192,33365,33405,33325,33336,33467,33599,33681,33691,33710,33688,33731
"782","M",40703,34985,35172,35047,35073,34974,34848,34852,34840,34890,34921,34864,34973,34931,34900,34927,34911,35025,35168,35185,35140,35152
"784","F",50101,10244,10705,11094,11708,12457,13119,13803,14541,15234,15910,16565,16976,17280,17560,18224,18619,19080,20028,20903,21733,22371
"785","M",50101,10510,10906,11316,11912,12656,13343,14011,14748,15466,16143,16797,17260,17574,17926,18657,19097,19259,19814,20380,20829,21332
"787","F",50102,31495,31679,32216,32649,33115,33903,34798,35709,36755,37850,38592,38751,39033,39619,40888,42127,42859,44445,46180,47562,48956
"788","M",50102,32725,32895,33362,33738,34151,34860,35580,36438,37521,38599,39382,39596,39859,40802,42367,43949,44299,45447,46716,47606,48524
"790","F",50103,10310,10335,10354,10323,10398,10541,10617,10593,10736,10751,10754,10710,10629,10540,10528,10585,10592,10720,10911,11004,11174
"791","M",50103,11085,11050,11056,10980,11008,11113,11157,11195,11313,11332,11384,11369,11139,10991,11059,11063,11004,11041,11130,11139,11093
"793","F",50201,18523,19693,20816,22087,23471,24699,25885,26932,27543,28682,29799,30237,31486,32893,34108,35237,36748,39060,41165,42374,44400
