"No.","Code","Area name","Sex","Age group","2001","2006","2011","2016"
5,10201,"Gosford","Males","85+",993,1369.92995790283,1784.00980357444,2078.73659888127
6,10202,"Wyong","Females","0–4",4831,4524.1840291293,4536.4268664087,4678.70592318549
6,10202,"Wyong","Females","5–9",5103,5232.36513604369,4960.60244441075,4968.06894099994
6,10202,"Wyong","Females","10–14",4704,5258.70065704153,5378.44312776612,5122.87407832888
6,10202,"Wyong","Females","15–19",4143,4583.03691686099,5033.03902553293,5134.954141193
6,10202,"Wyong","Females","20–24",3373,3803.22425275238,4122.94924274646,4437.04076670507
6,10202,"Wyong","Females","25–29",4076,3934.34338279134,4291.32489418587,4553.82428196132
6,10202,"Wyong","Females","30–34",4616,4766.37477358343,4667.93460463348,5003.36186908486
6,10202,"Wyong","Females","35–39",4883,5061.26808164299,5213.82929271543,5127.26841103307
6,10202,"Wyong","Females","40–44",4884,5185.96344150926,5390.96453921485,5539.64933042121
6,10202,"Wyong","Females","45–49",4232,4996.654320026,5289.97947665681,5500.03640187079
6,10202,"Wyong","Females","50–54",4009,4606.56144065034,5332.70453623239,5627.21526849372
6,10202,"Wyong","Females","55–59",3529,4566.77474921819,5148.49227142365,5866.0383817892
6,10202,"Wyong","Females","60–64",3320,4048.1101172983,5171.20904658939,5751.21396555488
6,10202,"Wyong","Females","65–69",3421,3698.53105625918,4478.64045530678,5684.83425171469
6,10202,"Wyong","Females","70–74",3393,3403.93670564916,3747.86958188514,4541.49314624194
6,10202,"Wyong","Females","75–79",2831,3021.58125678263,3058.90449098116,3419.76135331474
6,10202,"Wyong","Females","80–84",2021,2352.19843232642,2542.79493707843,2599.54846005675
6,10202,"Wyong","Females","85+",1508,1941.62416505412,2386.54290071189,2758.02303438248
6,10202,"Wyong","Males","0–4",4804,4712.90090986916,4726.64488812154,4876.71432647187
6,10202,"Wyong","Males","5–9",5274,5289.22518824073,5159.89336662707,5169.5075142383
6,10202,"Wyong","Males","10–14",5021,5473.20143181703,5508.03684361172,5356.60408859272
6,10202,"Wyong","Males","15–19",4306,4829.22324056902,5219.42720296296,5257.89662532456
6,10202,"Wyong","Males","20–24",3371,3904.15977091535,4276.24796989823,4578.36238442016
6,10202,"Wyong","Males","25–29",3753,3741.74945516301,4125.98650235788,4409.91325381657
6,10202,"Wyong","Males","30–34",4328,4383.26199278032,4344.67572189756,4674.00760901387
6,10202,"Wyong","Males","35–39",4699,4783.22631957384,4865.75376657603,4813.11618295766
6,10202,"Wyong","Males","40–44",4690,4938.41976531249,5064.06317681654,5152.01979225182
6,10202,"Wyong","Males","45–49",4180,4804.0669918704,5047.21690632807,5186.8486037348
6,10202,"Wyong","Males","50–54",3837,4503.0642548155,5103.6045212788,5349.58631693241
6,10202,"Wyong","Males","55–59",3300,4326.09912455063,4937.60549471799,5536.85595832634
6,10202,"Wyong","Males","60–64",3024,3773.51241693742,4841.15146813808,5424.03241226633
6,10202,"Wyong","Males","65–69",3020,3348.05144036381,4141.81853639316,5254.90896345449
6,10202,"Wyong","Males","70–74",3024,2964.03749602627,3367.09736255274,4171.48948246884
6,10202,"Wyong","Males","75–79",2368,2541.41968731884,2557.53500439438,2971.11639376371
6,10202,"Wyong","Males","80–84",1314,1726.1854434566,1910.54832330319,1963.42216069177
6,10202,"Wyong","Males","85+",810,1008.50226470317,1325.25126159982,1591.56279593941
7,10301,"Bathurst","Females","0–4",1334,1210.35506730986,1168.7872521708,1165.24722609581
7,10301,"Bathurst","Females","5–9",1432,1402.2091345927,1285.06450444633,1244.41089193546
7,10301,"Bathurst","Females","10–14",1553,1559.42990085125,1529.52803347969,1414.09639247781
7,10301,"Bathurst","Females","15–19",1795,1803.89337192881,1817.4879654611,1788.23199716053
7,10301,"Bathurst","Females","20–24",1440,1540.78779536786,1565.14745437234,1589.65752832731
7,10301,"Bathurst","Females","25–29",1263,1191.61306981109,1256.79019602935,1283.51393839632
7,10301,"Bathurst","Females","30–34",1325,1316.42483404707,1249.02323119798,1302.68409513075
7,10301,"Bathurst","Females","35–39",1423,1401.73117077303,1392.71006117813,1328.92221048548
7,10301,"Bathurst","Females","40–44",1458,1456.63001816927,1448.05796735112,1440.03249148756
7,10301,"Bathurst","Females","45–49",1363,1496.50810597062,1502.16285622465,1500.85657247839
7,10301,"Bathurst","Females","50–54",1300,1371.6339121384,1496.71501926994,1507.74021446247
7,10301,"Bathurst","Females","55–59",999,1305.65245811262,1374.63656730145,1494.39032896435
7,10301,"Bathurst","Females","60–64",792,991.430968464517,1286.40998846138,1354.42165624271
7,10301,"Bathurst","Females","65–69",688,799.997032628897,990.222833211334,1279.06181260526
7,10301,"Bathurst","Females","70–74",636,679.235370954971,788.15976603233,970.575314676567
7,10301,"Bathurst","Females","75–79",527,637.246049854687,676.350725119509,783.485264652068
7,10301,"Bathurst","Females","80–84",395,489.579035640164,586.061224075779,622.978642903973
7,10301,"Bathurst","Females","85+",377,465.890657705647,574.691363448337,694.265680425019
7,10301,"Bathurst","Males","0–4",1433,1285.10576593372,1241.49385321251,1238.10714657844
7,10301,"Bathurst","Males","5–9",1452,1478.85640380123,1346.23190001275,1304.04725926119
7,10301,"Bathurst","Males","10–14",1691,1607.04209059894,1617.45097315078,1490.05481756505
7,10301,"Bathurst","Males","15–19",1947,1938.38878574014,1882.32419350737,1882.01311143304
7,10301,"Bathurst","Males","20–24",1598,1630.1337974063,1642.01490744404,1631.0547348694
7,10301,"Bathurst","Males","25–29",1393,1233.34841882321,1272.48622177292,1295.56588733482
7,10301,"Bathurst","Males","30–34",1442,1417.67352230606,1308.89409148748,1350.64635578877
7,10301,"Bathurst","Males","35–39",1447,1463.67528304987,1441.67186617034,1355.73941566191
7,10301,"Bathurst","Males","40–44",1554,1494.2326783651,1505.95569898563,1486.33651296933
7,10301,"Bathurst","Males","45–49",1458,1578.00360139571,1540.27112876743,1550.98959215747
7,10301,"Bathurst","Males","50–54",1370,1445.42785868387,1558.46178603853,1535.82519105956
7,10301,"Bathurst","Males","55–59",1096,1367.05756248021,1434.70860818102,1544.30006094564
7,10301,"Bathurst","Males","60–64",812,1071.65404877677,1333.62630030825,1398.48839520494
7,10301,"Bathurst","Males","65–69",603,793.143260018556,1031.96393846901,1287.23066317318
7,10301,"Bathurst","Males","70–74",594,594.355235192604,767.307577041393,990.127469401779
7,10301,"Bathurst","Males","75–79",424,550.33151695102,560.613511885693,718.537729793614
7,10301,"Bathurst","Males","80–84",233,352.443372721038,456.407609187073,472.592177911336
7,10301,"Bathurst","Males","85+",169,218.65448639726,307.567368942821,408.699301654201
8,10302,"Lachlan Valley","Females","0–4",2105,1792.74312496628,1656.85777027894,1587.7553413662
8,10302,"Lachlan Valley","Females","5–9",2214,2116.21387170302,1840.35296664554,1711.93028958837
8,10302,"Lachlan Valley","Females","10–14",2204,2124.43504797023,2025.59864678794,1779.81560238172
8,10302,"Lachlan Valley","Females","15–19",1855,1782.13200776374,1729.94102828633,1648.10024891989
8,10302,"Lachlan Valley","Females","20–24",1276,1310.06741752256,1281.41728714565,1257.9508709404
8,10302,"Lachlan Valley","Females","25–29",1589,1431.48566929525,1445.39987531464,1421.3717373407
8,10302,"Lachlan Valley","Females","30–34",1789,1676.84912885693,1530.78094480229,1535.03020126127
8,10302,"Lachlan Valley","Females","35–39",2032,1938.22524414526,1838.74514067588,1693.2826126059
8,10302,"Lachlan Valley","Females","40–44",2054,2000.71222213647,1925.0639850615,1835.98219189814
8,10302,"Lachlan Valley","Females","45–49",1889,1991.06432030142,1944.25872324465,1879.85077723425
8,10302,"Lachlan Valley","Females","50–54",1823,1868.68910502268,1960.59054036982,1918.6553170149
8,10302,"Lachlan Valley","Females","55–59",1647,1871.19913299939,1909.42353677944,1995.40643979451
8,10302,"Lachlan Valley","Females","60–64",1590,1679.16425685578,1930.71782116447,1965.97034148303
8,10302,"Lachlan Valley","Females","65–69",1336,1549.44013451512,1665.33501930979,1937.74975089314
8,10302,"Lachlan Valley","Females","70–74",1255,1282.74064718234,1477.86211077301,1611.78771555677
8,10302,"Lachlan Valley","Females","75–79",1091,1193.72071296793,1214.54639053874,1395.75685393847
8,10302,"Lachlan Valley","Females","80–84",790,987.28573972177,1079.65884474448,1101.21796371582
8,10302,"Lachlan Valley","Females","85+",724,894.43056790922,1107.11476959855,1283.57623061275
8,10302,"Lachlan Valley","Males","0–4",2182,1890.07425760721,1747.37023042215,1674.98827741656
8,10302,"Lachlan Valley","Males","5–9",2397,2214.29211554639,1948.20076322827,1813.16582286778
8,10302,"Lachlan Valley","Males","10–14",2422,2317.70309119902,2156.01504712571,1912.47768219466
8,10302,"Lachlan Valley","Males","15–19",2034,1928.25645989348,1860.55841904462,1737.1874604467
8,10302,"Lachlan Valley","Males","20–24",1431,1454.75698342708,1405.80265177129,1374.49699916394
8,10302,"Lachlan Valley","Males","25–29",1619,1490.44178620235,1498.03381720125,1467.20638032864
8,10302,"Lachlan Valley","Males","30–34",1775,1663.19604437763,1529.53230056488,1530.22887530265
8,10302,"Lachlan Valley","Males","35–39",2075,1918.02443038088,1814.05105263402,1676.24080397132
8,10302,"Lachlan Valley","Males","40–44",2155,2045.268731734,1926.75446114984,1830.61004057543
8,10302,"Lachlan Valley","Males","45–49",2008,2078.4782088861,1990.25830686118,1892.72700727859
8,10302,"Lachlan Valley","Males","50–54",2045,1986.84290766797,2053.0636106757,1978.47021698619
8,10302,"Lachlan Valley","Males","55–59",1669,2026.44753476887,1978.75205951995,2043.93331670503
8,10302,"Lachlan Valley","Males","60–64",1615,1701.91668102334,2047.67200838505,2011.47339099801
8,10302,"Lachlan Valley","Males","65–69",1359,1547.57781038834,1670.4253029769,2009.43208450206
8,10302,"Lachlan Valley","Males","70–74",1261,1252.15965664282,1436.96825436133,1584.04353443259
8,10302,"Lachlan Valley","Males","75–79",866,1075.22916572693,1083.73040944385,1258.99638833323
8,10302,"Lachlan Valley","Males","80–84",481,699.695331030813,870.12311775093,889.404966119674
8,10302,"Lachlan Valley","Males","85+",330,427.22339259448,590.416825332063,763.045838243687
9,10303,"Lithgow - Mudgee","Females","0–4",1421,1297.35953685145,1240.33740649463,1213.11952834881
9,10303,"Lithgow - Mudgee","Females","5–9",1633,1461.51613095774,1332.72662315229,1270.76504433582
9,10303,"Lithgow - Mudgee","Females","10–14",1659,1578.99133057253,1445.88446113312,1318.86840986559
9,10303,"Lithgow - Mudgee","Females","15–19",1374,1395.53504325578,1347.34273488158,1251.97726151501
9,10303,"Lithgow - Mudgee","Females","20–24",994,1062.68185976902,1076.26975282074,1058.92824356157
9,10303,"Lithgow - Mudgee","Females","25–29",1232,1174.76867372827,1213.74856898077,1217.49302911051
9,10303,"Lithgow - Mudgee","Females","30–34",1407,1402.04097484227,1321.11677521896,1346.18777563595
9,10303,"Lithgow - Mudgee","Females","35–39",1623,1573.44358222888,1549.4392078128,1458.17113255485
9,10303,"Lithgow - Mudgee","Females","40–44",1543,1656.18792295533,1618.26002137997,1587.11177217928
9,10303,"Lithgow - Mudgee","Females","45–49",1438,1564.01002356919,1643.11161422332,1611.64855449572
