"Index","Code","Area","Period-Cohort","F_ASDRs 2001-06","F_ASDRs 2006-11","M_ASDRs 2001-06","M_ASDRs 2006-11","F_ASOMRs 2001-06","F_ASOMRs 2006-11","M_ASOMRs 2001-06","M_ASOMRs 2006-11","F_inward 2001-06","F_inward 2006-11","M_inward 2001-06","M_inward 2006-11","Age-Cohort","ASFRs 2001-06","ASFRs 2006-11"
168,30402,"Kenmore - Brookfield - Moggill","15-19 - 20-24",0.000297947016895218,0.000260640972060773,0.000787555729046002,0.000656648105748834,0.174264850662513,0.174264850662513,0.146357465219136,0.146357465219136,837.945823086824,837.945823086824,718.655105196461,718.655105196461,"15–19",0.0128407083831985,0.0128407083831985
168,30402,"Kenmore - Brookfield - Moggill","20-24 - 25-29",0.000337623895513069,0.000310033469667663,0.000877449245439579,0.000755032479250518,0.223653902674032,0.223653902674032,0.205671792633237,0.205671792633237,824.58861412468,824.58861412468,765.469874810972,765.469874810972,"20–24",0.0482346452429774,0.0482346452429774
168,30402,"Kenmore - Brookfield - Moggill","25-29 - 30-34",0.000427834873325616,0.000410113894020115,0.000972290862302913,0.00086054188405888,0.134813634471555,0.134813634471555,0.132401567239724,0.132401567239724,921.763180979588,921.763180979588,862.822202464478,862.822202464478,"25–29",0.0961413352620224,0.0961413352620224
168,30402,"Kenmore - Brookfield - Moggill","30-34 - 35-39",0.000569061427818913,0.000547520486602868,0.00115473250860176,0.00107555125723,0.0888800891050753,0.0888800891050753,0.0923754019319962,0.0923754019319962,990.185977609844,990.185977609844,952.671736106084,952.671736106084,"30–34",0.12360127843513,0.12360127843513
168,30402,"Kenmore - Brookfield - Moggill","35-39 - 40-44",0.000804740162460601,0.000770404635859876,0.00149542192577888,0.00142066163571895,0.073870682111402,0.073870682111402,0.0783916817684337,0.0783916817684337,814.90959601977,814.90959601977,748.426901726194,748.426901726194,"35–39",0.0714563978298815,0.0714563978298815
168,30402,"Kenmore - Brookfield - Moggill","40-44 - 45-49",0.00131098481202602,0.00125994751527894,0.00209712339318576,0.00197666214750718,0.0620982993734961,0.0620982993734961,0.0662012219989163,0.0662012219989163,624.813544836174,624.813544836174,581.530747860551,581.530747860551,"40–44",0.0153255998876092,0.0153255998876092
168,30402,"Kenmore - Brookfield - Moggill","45-49 - 50-54",0.00200654502160826,0.00187338468641509,0.00323607291907735,0.00299671969219638,0.060732729807782,0.060732729807782,0.0631164015408948,0.0631164015408948,479.915546221336,479.915546221336,470.875738914777,470.875738914777,"45–49",0.00108477497146863,0.00108477497146863
168,30402,"Kenmore - Brookfield - Moggill","50-54 - 55-59",0.00308453545785501,0.00285688088269822,0.00526968609681167,0.0047452177837632,0.0620535665975589,0.0620535665975589,0.0620535665975589,0.0620535665975589,308.985746078726,308.985746078726,322.821484501006,322.821484501006,NA,NA,NA
168,30402,"Kenmore - Brookfield - Moggill","55-59 - 60-64",0.00469494791081026,0.00426761827002648,0.00852222006274419,0.00749149349307599,0.0602294805516211,0.0602294805516211,0.0602294805516211,0.0602294805516211,198.442895237615,198.442895237615,221.367360341036,221.367360341036,NA,NA,NA
168,30402,"Kenmore - Brookfield - Moggill","60-64 - 65-69",0.00727299496160703,0.00644596810936636,0.0135351853723144,0.0116476739984385,0.0545271646600448,0.0545271646600448,0.0545271646600448,0.0545271646600448,132.463938357676,132.463938357676,136.661554446873,136.661554446873,NA,NA,NA
168,30402,"Kenmore - Brookfield - Moggill","65-69 - 70-74",0.012100529265112,0.0107861447121326,0.0212243919037463,0.0183113419448556,0.0402133981649347,0.0402133981649347,0.0402133981649347,0.0402133981649347,112.782873583545,112.782873583545,109.574301819834,109.574301819834,NA,NA,NA
168,30402,"Kenmore - Brookfield - Moggill","70-74 - 75-79",0.0208335833026167,0.0187235428726125,0.0345075703408449,0.0302988745946289,0.0226290589038178,0.0226290589038178,0.0226290589038178,0.0226290589038178,85.2502523133554,85.2502523133554,71.0752069782545,71.0752069782545,NA,NA,NA
168,30402,"Kenmore - Brookfield - Moggill","75-79 - 80-84",0.0374817106103868,0.0342994957926486,0.0570556314746315,0.0516861727413707,0.00889874783674693,0.00889874783674693,0.00889874783674693,0.00889874783674693,58.5614593670771,58.5614593670771,58.5614593670771,58.5614593670771,NA,NA,NA
168,30402,"Kenmore - Brookfield - Moggill","80+ - 85+",0.117734864071762,0.115183690995724,0.138077965889707,0.134487050915137,0.00419878988481704,0.00419878988481704,0.00419878988481704,0.00419878988481704,53.9188209190754,53.9188209190754,53.9188209190754,53.9188209190754,NA,NA,NA
169,30403,"Sherwood - Indooroopilly","Birth - 0-4",0.00191173952852498,0.00157795060362072,0.00240817148394991,0.00195115058116468,0.100106611123792,0.100106611123792,0.101139747135507,0.101139747135507,227.571215506373,227.571215506373,230.171866460834,230.171866460834,NA,NA,NA
169,30403,"Sherwood - Indooroopilly","0-4 - 5-9",0.000143842403499296,0.000119515064524541,0.000221464698388491,0.000177580292157855,0.0769321413282753,0.0769321413282753,0.0770891968890075,0.0770891968890075,382.746230816254,382.746230816254,412.138080846361,412.138080846361,NA,NA,NA
169,30403,"Sherwood - Indooroopilly","5-9 - 10-14",8.37862006287202e-05,7.04322557881296e-05,0.000131479425574852,0.000112598703585133,0.0516228682568544,0.0516228682568544,0.0504482265531298,0.0504482265531298,355.967591731627,355.967591731627,357.492061232771,357.492061232771,NA,NA,NA
169,30403,"Sherwood - Indooroopilly","10-14 - 15-19",0.00016878794809056,0.000145815226507456,0.000320677552646044,0.000269986210045276,0.0255588627422447,0.0255588627422447,0.0187453182261341,0.0187453182261341,1539.22374996949,1539.22374996949,1467.3480820408,1467.3480820408,NA,NA,NA
