"Area","Sex","Period-Cohort","ERP(t-5)","Deaths","Net mig","ERP(t)","Prelim mig (model rates x pop-at-risk)","Scaled mig (adjusted for pop size)","Prelim in (consistent with total net mig)","Prelim out (consistent with total net mig)","scaling factor a (unsmoothed)","scaling factor b (smoothed)","In-mig (consistent with cohort net mig)","Out-mig (consistent with cohort net mig)","Adjusted net mig"
"Goulburn - Yass","Males","Birth - 0-4",2301.65594338889,17.2470799835565,-36.408863405335,2248,1569.47362756661,645.514203199074,639.085315506174,652.00776237787,0.962546239307923,0.962546239307923,615.149167037386,677.378120397278,-62.2289533598923
"Goulburn - Yass","Males","0-4 - 5-9",2466,3.50172002379451,-12.4982799762055,2450,2796.3045773205,1150.10172163875,1138.6474813336,1161.67118603486,1.01260106644178,1.01260106644178,1152.99565389966,1147.21505292988,5.78060096977739
"Goulburn - Yass","Males","5-9 - 10-14",2582,2.00435998726176,-112.995640012738,2467,2148.34873161633,883.601734572122,874.80165505619,892.490338611344,0.940397637454938,0.940397637454938,822.661409656511,949.05633857902,-126.39492892251
"Goulburn - Yass","Males","10-14 - 15-19",2426,4.49894940306684,-280.501050596933,2141,1851.72375791175,761.601829516864,754.016787074101,769.26317380044,0.833943703199054,0.833943703199054,628.807551686829,922.440172939137,-293.632621252308
"Goulburn - Yass","Males","15-19 - 20-24",2212,9.65493526839114,-462.345064731609,1740,2903.18647630196,1194.06154526725,1182.16949465878,1206.07322412558,0.811759121524529,0.811759121524529,959.636870477305,1485.75259845619,-526.115727978882
"Goulburn - Yass","Males","20-24 - 25-29",1914,9.71207740280811,-136.287922597192,1768,3773.15539552406,1551.87405249002,1536.41842975153,1567.48515128217,1.00810232176145,1.00810232176145,1548.86698622959,1554.88695685506,-6.01997062546951
"Goulburn - Yass","Males","25-29 - 30-34",2038,11.582264404682,18.582264404682,2045,4044.87796727886,1663.6317630477,1647.06310861071,1680.36709009633,1.03323456092564,1.03323456092564,1701.8025278422,1626.31715357155,75.4853742706481
"Goulburn - Yass","Males","30-34 - 35-39",2286,14.8709000754938,126.870900075494,2398,3724.35500576064,1531.8027724375,1516.54704616088,1547.21196390651,1.03993091110297,1.03993091110297,1577.1041514446,1487.80264860625,89.3015028383468
"Goulburn - Yass","Males","35-39 - 40-44",2411,19.2996320832121,9.2996320832121,2401,2866.83612960062,1179.11088622158,1167.36773413069,1190.97216871559,1.01243493186836,1.01243493186836,1181.88387236993,1176.34440617113,5.53946619880589
"Goulburn - Yass","Males","40-44 - 45-49",2257,25.5230472965345,3.52304729653448,2235,2027.15409706535,833.755176732553,825.451535436941,842.142348624215,1.02094112162026,1.02094112162026,842.737416432156,824.86867341352,17.8687430186355
"Goulburn - Yass","Males","45-49 - 50-54",2312,41.4162210110878,37.4162210110878,2308,1706.22770501843,701.760257793447,694.771197192865,708.819624947144,1.04008000857702,1.06529271200448,740.134692880184,665.375456867076,41.1127301299873
"Goulburn - Yass","Males","50-54 - 55-59",1939,59.3545789335959,112.354578933596,1992,1316.94031275637,541.648908091379,536.25444894262,547.097632877589,1.13485700581615,1.09410469963869,586.718512790275,500.041388231182,126.487036132424
"Goulburn - Yass","Males","55-59 - 60-64",1661,83.9669235092567,103.966923509257,1681,1072.96671595147,441.304168825317,436.90907585025,445.743474299797,1.10737708452289,1.10560423317238,483.048523771469,403.167300672137,81.3012471807828
"Goulburn - Yass","Males","60-64 - 65-69",1421,114.725399171319,73.7253991713185,1380,836.417189205323,344.012900853263,340.586763529663,347.473503453313,1.07457860917811,1.13585095481562,386.855800552731,305.914699441985,42.6293311113907
"Goulburn - Yass","Males","65-69 - 70-74",1343,168.879927018215,105.879927018215,1280,661.345339197314,272.006997870538,269.297990954305,274.743256079831,1.22559717074587,1.10256689359537,296.919049337961,249.185113099051,105.879927018215
"Goulburn - Yass","Males","70-74 - 75-79",952,178.334739524409,-0.665260475591111,773,321.883929303835,132.388747728948,131.070244763815,133.720514193147,1.00752490086212,1.14517126422892,150.097877898973,116.769009466182,-0.665260475591111
