No.,Code,Area name,Sex,Age group,2001,2006,2011
10,10304,Orange,Males,55–59,1375,1725.63510543106,1774.20121798862
10,10304,Orange,Males,60–64,1171,1366.54343018125,1704.06129307696
10,10304,Orange,Males,65–69,1000,1139.70599220878,1340.33261911877
10,10304,Orange,Males,70–74,846,911.971957576588,1053.90127183854
10,10304,Orange,Males,75–79,574,727.39667229013,790.391243655206
10,10304,Orange,Males,80–84,323,454.530073475777,579.140387195733
10,10304,Orange,Males,85,201,272.564583737119,378.023037509048
11,10401,Clarence Valley,Females,0–4,1460,1305.921388537,1251.69559085556
11,10401,Clarence Valley,Females,5–9,1709,1637.96774367685,1492.96106950014
11,10401,Clarence Valley,Females,10–14,1869,1808.2536340274,1747.73057296725
11,10401,Clarence Valley,Females,15–19,1480,1585.50965776023,1557.32524905502
11,10401,Clarence Valley,Females,20–24,864,965.656601034981,1016.9278352733
11,10401,Clarence Valley,Females,25–29,1118,1015.92020868786,1076.84525109541
11,10401,Clarence Valley,Females,30–34,1317,1308.39269610068,1226.36261465131
11,10401,Clarence Valley,Females,35–39,1644,1573.44610085081,1561.80253900398
11,10401,Clarence Valley,Females,40–44,1915,1821.99970576273,1783.2390484126
